water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare,snow_and_ice,water_area,trees_area,grass_area,flooded_vegetation_area,crops_area,shrub_and_scrub_area,built_area,bare_area,snow_and_ice_area,Location,Label,Prediction
0.0007130996673367918,0.0019248711178079247,0.0029174883384257555,0.0033784820698201656,0.002891703275963664,0.004133263602852821,0.003115335712209344,0.00454068835824728,,19.0,45463.0,1249.0,269.0,336.0,858.0,651.0,5.0,0.0,105.3262710571289 + 22.995779037475586,0.89115435,1.646625
0.010901562869548798,0.005084997043013573,0.006379118654876947,0.004108797758817673,0.007145755924284458,0.006082514766603708,0.0060827769339084625,,,6.0,38617.0,2082.0,874.0,697.0,6092.0,273.0,0.0,0.0,103.24175262451172 + 21.15749740600586,1.8174288,1.7930435
0.005564322229474783,0.0030416070949286222,0.003837855067104101,0.0045848130248487,0.0037706964649260044,0.003353278851136565,0.0010977579513564706,0.0055193123407661915,,1.0,44581.0,506.0,460.0,254.0,730.0,53.0,4.0,0.0,107.14653778076172 + 21.457799911499023,1.7809505,1.8448348
0.009045307524502277,0.004486636258661747,0.008897798135876656,0.007185960654169321,0.009317831136286259,0.009483478963375092,0.01169266365468502,0.007178459782153368,,93.0,44729.0,333.0,1590.0,480.0,1518.0,385.0,4.0,0.0,103.35791015625 + 22.378000259399414,1.4898888,1.7585878
,0.003230712376534939,0.011869462206959724,0.014096749015152454,0.004500830080360174,0.005492200143635273,0.005128892604261637,,,0.0,49612.0,31.0,17.0,95.0,184.0,111.0,0.0,0.0,105.78313446044922 + 22.262483596801758,1.6117309,1.9075496
0.003915357403457165,0.004025457426905632,0.003646646859124303,0.0033835412468761206,0.0035758069716393948,0.003944601397961378,0.005402454175055027,0.013314379379153252,,285.0,10923.0,1194.0,348.0,13597.0,739.0,22045.0,145.0,0.0,106.3568115234375 + 11.095165252685547,2.798546,2.5928478
0.0031975661404430866,0.004799271002411842,0.004865502007305622,0.005135321523994207,0.005527931731194258,0.006690060254186392,0.00791206955909729,0.008977014571428299,,120.0,37960.0,747.0,200.0,4406.0,4555.0,1133.0,19.0,0.0,107.97491455078125 + 12.241935729980469,2.2460852,1.8571153
0.0023989148903638124,0.00581743847578764,0.0061462256126105785,0.005114120896905661,0.006019833497703075,0.005962001159787178,0.007630206644535065,0.0027159263845533133,,5555.0,19180.0,8914.0,663.0,5825.0,8372.0,323.0,58.0,0.0,107.62237548828125 + 14.074926376342773,2.5112286,2.6735659
,0.003795563243329525,0.002746118465438485,0.0037914016284048557,0.0009719568188302219,0.003717974526807666,,,,0.0,42159.0,1141.0,3151.0,5.0,1289.0,0.0,0.0,0.0,102.31195831298828 + 22.242136001586914,0.7447352,1.4768072
0.002703010803088546,0.0029442866798490286,0.002903594635426998,0.0030653923749923706,0.0035075403284281492,0.002249584998935461,0.004954776726663113,0.002318732440471649,0.0019093301380053163,2220.0,4352.0,10875.0,2289.0,19309.0,749.0,4354.0,342.0,10.0,105.4898681640625 + 9.998981475830078,2.0218725,1.9101024
0.0037227196153253317,0.005266633816063404,0.0045245676301419735,0.004278028849512339,0.005777360405772924,0.006849689409136772,0.0053024752996861935,0.009611872024834156,,3964.0,32104.0,516.0,311.0,6431.0,1939.0,3778.0,305.0,0.0,106.83710479736328 + 17.132080078125,2.57688,2.7000766
0.011257097125053406,0.004426269326359034,0.005952618084847927,0.0050534335896372795,0.005261915270239115,0.005937177687883377,0.005810155533254147,0.009642626158893108,,56.0,20390.0,145.0,1472.0,5555.0,18542.0,1900.0,42.0,0.0,108.89798736572266 + 11.80398941040039,2.4100955,2.1436195
,0.002998097101226449,0.002274939324706793,0.003912001848220825,0.0029456436168402433,0.004585315939038992,0.0040561119094491005,0.005894451402127743,0.0092800073325634,0.0,27766.0,1338.0,463.0,8198.0,6222.0,2048.0,2386.0,78.0,107.65016174316406 + 10.659663200378418,2.5397575,2.4936385
0.005829244386404753,0.00479470007121563,0.004168728832155466,0.006338149309158325,0.0052879503928124905,0.003914536442607641,0.00709910411387682,0.006152584217488766,,83.0,22080.0,1061.0,822.0,19841.0,3361.0,2487.0,89.0,0.0,108.45915222167969 + 11.3221435546875,2.5284998,2.4157345
0.003091159975156188,0.004238908179104328,0.004516723100095987,0.005221295636147261,0.0048033008351922035,0.004581108223646879,0.005127754062414169,0.005413647275418043,,1635.0,13298.0,1398.0,759.0,12075.0,4532.0,14816.0,659.0,0.0,108.00028228759766 + 14.314355850219727,2.5094483,2.5362368
0.003941062837839127,0.00580027187243104,0.006028478499501944,0.012835035100579262,0.00713829230517149,0.008440741337835789,0.0014217108255252242,0.0007309889770112932,,22.0,49855.0,29.0,8.0,55.0,87.0,88.0,8.0,0.0,107.71021270751953 + 16.085912704467773,2.0845022,2.13345
0.0052016680128872395,0.004953970666974783,0.004935999400913715,0.00434787105768919,0.004250471014529467,0.005327689927071333,0.005346001125872135,0.007995585910975933,,999.0,13224.0,77.0,474.0,17499.0,223.0,17298.0,7.0,0.0,105.9742660522461 + 21.468738555908203,2.8008053,2.6263282
0.0019003346096724272,0.0025024537462741137,0.002277006860822439,0.0028580892831087112,0.0029722112230956554,0.003264188766479492,0.004616721998900175,0.0056167482398450375,0.007087492384016514,2498.0,12404.0,231.0,437.0,2669.0,11238.0,12048.0,6098.0,273.0,107.40089416503906 + 16.577415466308594,2.7236087,2.7823987
0.008022445254027843,0.00653801066800952,0.010237308219075203,0.007539120968431234,0.0062322732992470264,0.010003669187426567,0.006826553028076887,,,3.0,46655.0,297.0,82.0,1911.0,163.0,539.0,0.0,0.0,105.52268981933594 + 22.69037628173828,0.9453633,1.8389624
0.006996589712798595,0.004427608102560043,0.004813030362129211,0.00410155113786459,0.005619880277663469,0.006012583151459694,0.0054462142288684845,,,890.0,34549.0,50.0,46.0,1284.0,31.0,12848.0,0.0,0.0,106.47570037841797 + 10.118133544921875,2.2230616,2.5476446
0.002788808662444353,0.004286049399524927,0.0032772142440080643,0.00472291000187397,0.006807583849877119,0.00490332767367363,,0.004613953176885843,0.002128800842911005,368.0,49196.0,9.0,59.0,22.0,293.0,0.0,31.0,106.0,108.37615203857422 + 14.370246887207031,1.3186603,2.0525775
0.00039584634942002594,0.003991414792835712,0.004067102447152138,0.0040027606301009655,0.004486803896725178,0.0049091787077486515,0.00594312185421586,0.007836943492293358,,3.0,12831.0,257.0,879.0,20007.0,7164.0,6677.0,242.0,0.0,109.04137420654297 + 13.0809326171875,2.457181,2.241075
