,provname,id,distname,year,area,centroid_lon,centroid_lat
0,HaNoi,1.0,BaDinh,2010,9281584.520744419,105.82643488035444,21.03605364283048
1,HaNoi,3.0,TayHo,2010,26955938.41579715,105.81993949831909,21.070878933888892
2,HaNoi,2.0,HoanKiem,2010,5167693.507109101,105.85369894061861,21.028804252078125
3,HaNoi,4.0,LongBien,2010,59554119.109820314,105.8942125422901,21.041859500724712
4,HaNoi,7.0,HaiBaTrung,2010,9698945.583393607,105.85781374368284,21.005504110294456
5,HaNoi,8.0,HoangMai,2010,40064008.77363807,105.8632570205197,20.974371010489197
6,HaNoi,6.0,DongDa,2010,10041584.330995208,105.8251997474931,21.01561331362957
7,HaNoi,9.0,ThanhXuan,2010,9254652.865492543,105.81549930195555,20.994797732619844
8,HaNoi,5.0,CauGiay,2010,12279755.545633053,105.79173437895129,21.0307224082036
9,HaNoi,16.0,SocSon,2010,304967112.8663739,105.83005362683426,21.272708287568364
10,HaNoi,17.0,DongAnh,2010,185680459.07879832,105.84020069165476,21.136775273986643
11,HaNoi,18.0,GiaLam,2010,117252526.30682671,105.9505516740597,21.029026970261942
12,HaNoi,19.0,TuLiem,2010,,,
13,HaNoi,20.0,ThanhTri,2010,63297180.364161894,105.84107734033148,20.932688359373618
14,HaiPhong,303.0,HongBang,2010,14971654.794163713,106.64800706136907,20.872142302354465
15,HaiPhong,304.0,NgoQuyen,2010,10975568.682261912,106.70101354985748,20.857040617063234
16,HaiPhong,306.0,HaiAn,2010,82500591.15279256,106.75672896673792,20.82219700193571
17,HaiPhong,305.0,LeChan,2010,11767891.208960498,106.67904812044219,20.835921643803747
18,HaiPhong,307.0,KienAn,2010,29369179.39104146,106.63909128987342,20.804427512031975
19,HaiPhong,308.0,DoSon,2010,78625.64433992795,106.81559657577053,20.66738704853194
20,HaiPhong,309.0,DuongKinh,2010,46340646.51372934,106.71362880461831,20.78153544953365
21,HaiPhong,311.0,ThuyNguyen,2010,261625241.0296797,106.67550305263474,20.947433276249726
22,HaiPhong,312.0,AnDuong,2010,103820243.21946557,106.59147210458319,20.88048008947507
23,HaiPhong,313.0,AnLao,2010,118353350.95119171,106.561071143702,20.80306973309113
24,HaiPhong,314.0,KienThuy,2010,104363291.9405128,106.67312914397674,20.73393402870382
25,HaiPhong,315.0,TienLang,2010,186395852.18744147,106.595197565991,20.695568298661904
26,HaiPhong,316.0,VinhBao,2010,182883226.1825325,106.4941585946526,20.67462757492043
27,VinhPhuc,243.0,VinhYen,2010,50863061.57656301,105.59629045418514,21.305782963663702
28,VinhPhuc,244.0,PhucYen,2010,118077932.01699454,105.72960472186604,21.322392819726318
29,VinhPhuc,246.0,LapThach,2010,172321628.7631255,105.47817219534593,21.421865779162214
30,VinhPhuc,253.0,SongLo,2010,150266395.80049387,105.39639816272586,21.43928086758526
31,VinhPhuc,248.0,TamDao,2010,234774546.21625116,105.59330275485861,21.460980375023507
32,VinhPhuc,247.0,TamDuong,2010,107967109.8744071,105.55442045093794,21.365327064529048
33,VinhPhuc,249.0,BinhXuyen,2010,148407855.45978022,105.66598568907571,21.31954345569419
34,VinhPhuc,252.0,VinhTuong,2010,141250141.26170963,105.49863429103927,21.242365416069163
35,VinhPhuc,251.0,YenLac,2010,105823435.58373427,105.57608706170352,21.220377166598176
36,HaNoi,250.0,MeLinh,2010,141675471.29555374,105.70616517707252,21.18340027983824
37,HaNoi,268.0,HaDong,2010,48777917.10910973,105.75697760148496,20.95363535109767
38,HaNoi,269.0,SonTay,2010,117481328.08262183,105.47962741380881,21.09686456638663
39,HaNoi,271.0,BaVi,2010,420084036.6839357,105.3829096760506,21.14122866281319
40,HaNoi,272.0,PhucTho,2010,119092939.7741028,105.58364926452899,21.11708540853383
41,HaNoi,273.0,DanPhuong,2010,78065737.51763983,105.67684845202395,21.113834991172347
42,HaNoi,276.0,ThachThat,2010,185908646.6710156,105.53081744912673,21.018858778391433
43,HaNoi,274.0,HoaiDuc,2010,84997914.46034466,105.69927684721273,21.02408870677492
44,HaNoi,275.0,QuocOai,2010,150860244.45047832,105.59792335216578,20.96765245882345
45,HaNoi,277.0,ChuongMy,2010,238225653.14486453,105.66045376815899,20.8771436718832
46,HaNoi,278.0,ThanhOai,2010,124535471.21774635,105.78103624927847,20.855892983479677
47,HaNoi,279.0,ThuongTin,2010,130327634.48715837,105.87504664753078,20.84484816134543
48,HaNoi,282.0,MyDuc,2010,225233484.70337525,105.7203975464489,20.686921413750284
49,HaNoi,281.0,UngHoa,2010,187994937.47136393,105.79929147586064,20.712099472442883
50,HaNoi,280.0,PhuXuyen,2010,172797512.16642687,105.90094282918459,20.73576482389806
51,BacNinh,256.0,BacNinh,2010,82518871.73365028,106.07411651808428,21.170586564426582
52,BacNinh,258.0,YenPhong,2010,97069735.03410126,105.97358846948903,21.20802421682677
53,BacNinh,259.0,QueVo,2010,153945109.03247556,106.1787615584677,21.14087587162313
54,BacNinh,260.0,TienDu,2010,96318934.92138536,106.03286061519819,21.114982459494087
55,BacNinh,261.0,TuSon,2010,60588335.53038195,105.95949091644806,21.12653072544707
56,BacNinh,262.0,ThuanThanh,2010,117379522.15709823,106.07648388617717,21.03719980196676
57,BacNinh,264.0,LuongTai,2010,105397843.26144978,106.22603931750065,21.022606309457036
58,BacNinh,263.0,GiaBinh,2010,107664775.91709293,106.20879746983556,21.07527255262111
59,HaiDuong,288.0,HaiDuong,2010,72789127.9559933,106.32824214441953,20.93972030548812
60,HaiDuong,290.0,ChiLinh,2010,282966527.86234874,106.40088304084581,21.13441296219918
61,HaiDuong,291.0,NamSach,2010,110818403.34709932,106.33686509469585,21.014719188041273
62,HaiDuong,294.0,ThanhHa,2010,159473379.713704,106.43218491707036,20.89504632917313
63,HaiDuong,292.0,KinhMon,2010,165975930.88106266,106.50838561453497,21.01478965784674
64,HaiDuong,293.0,KimThanh,2010,114727834.89743575,106.4887371060135,20.93597364370658
65,HaiDuong,297.0,GiaLoc,2010,113961633.66988616,106.28855539932347,20.850664295661996
66,HaiDuong,298.0,TuKy,2010,172446805.2744599,106.40715232808847,20.808573788119453
67,HaiDuong,295.0,CamGiang,2010,109884489.68725255,106.21509282837033,20.954606376989513
68,HaiDuong,296.0,BinhGiang,2010,106324665.3034866,106.188521668947,20.873684416652573
69,HaiDuong,300.0,ThanhMien,2010,124139317.78373629,106.21595089709885,20.780445405487708
70,HaiDuong,299.0,NinhGiang,2010,136324058.4844398,106.33410008616022,20.747530745510662
71,HungYen,323.0,HungYen,2010,70456876.29340322,106.06398999123483,20.657772173279977
72,HungYen,325.0,VanLam,2010,74769731.85359813,106.04267558492931,20.97778377323897
73,HungYen,328.0,MyHao,2010,79183353.52247298,106.09989002376749,20.93101165633819
74,HungYen,327.0,YenMy,2010,92097335.0793888,106.0276818908002,20.891456058341024
75,HungYen,326.0,VanGiang,2010,72203011.67662974,105.94892486654358,20.93246824177382
76,HungYen,330.0,KhoaiChau,2010,130400858.7401075,105.97303523575417,20.825105970266232
77,HungYen,329.0,AnThi,2010,129149714.81948113,106.1030370151928,20.813289874461084
78,HungYen,331.0,KimDong,2010,104865499.58549653,106.03274460489449,20.746213102563477
79,HungYen,333.0,PhuCu,2010,94642378.82603396,106.19071566116087,20.71356945636416
80,HungYen,332.0,TienLu,2010,78631682.34647402,106.13059158804735,20.683371175442307
81,HaNam,347.0,PhuLy,2010,87398580.6918187,105.93238207982746,20.545806238055015
82,HaNam,349.0,DuyTien,2010,122561179.96923617,105.97194746567881,20.637453832441206
83,HaNam,350.0,KimBang,2010,176440069.28525415,105.8468950538849,20.573067209611057
