"matinh","mahuyen","maxa","year","mean_pos_WI"
1,1,1,2016,2.96172043727187
1,1,1,2019,2.93407046238277
1,1,4,2016,3.01773342599744
1,1,4,2019,2.96352765873825
1,1,6,2016,3.03709685851633
1,1,6,2019,3.03104261714953
1,1,7,2016,3.01432019103084
1,1,7,2019,3.03624850713892
1,1,8,2016,3.01266241132896
1,1,8,2019,3.02527228104789
1,1,10,2019,3.01317916448703
1,1,13,2016,2.99190243901353
1,1,13,2019,2.97885826018056
1,1,16,2016,2.97999109198139
1,1,16,2019,3.00779550169588
1,1,19,2016,3.02598852244778
1,1,19,2019,3.02838929140571
1,1,22,2016,3.02979888120544
1,1,22,2019,3.01524050827925
1,1,25,2016,2.96163491902802
1,1,25,2019,3.00290970436738
1,1,28,2016,2.90079887551869
1,1,28,2019,2.98952205865566
1,1,31,2016,3.01852566580589
1,1,31,2019,2.98949940732685
1,1,34,2016,3.0002856284114
1,1,34,2019,2.97705697661833
1,2,37,2016,3.01124240655135
1,2,37,2019,2.9886516346608
1,2,40,2016,2.96363036759466
1,2,40,2019,3.03002751784043
1,2,43,2019,3.00895927726906
1,2,46,2016,3.0452051985078
1,2,46,2019,2.97674798855359
1,2,49,2019,2.92968101256437
1,2,52,2019,2.98056296555034
1,2,55,2016,2.93162397479325
1,2,55,2019,2.98807785064975
1,2,58,2019,3.00710377322138
1,2,61,2016,2.9983487649567
1,2,61,2019,2.97936083913887
1,2,64,2019,2.93094600705425
1,2,67,2016,3.01707182047071
1,2,67,2019,2.9835337875967
1,2,70,2019,3.02532081439382
1,2,73,2016,2.89686949413722
1,2,73,2019,3.03130553675062
1,2,76,2019,3.00209511866392
1,2,79,2016,3.11707188664655
1,2,79,2019,3.02458593987288
1,2,82,2019,2.98350053891996
1,2,85,2016,3.06530968774845
1,2,85,2019,3.02191729615715
1,2,88,2019,2.98189287545279
1,3,91,2016,2.87692622220372
1,3,91,2019,3.05269431805197
1,3,94,2016,2.84806970119094
1,3,94,2019,3.0255885056534
1,3,97,2016,2.91261205087174
1,3,97,2019,2.99800014809352
1,3,100,2016,2.94526890160047
1,3,100,2019,3.04037545228658
1,3,103,2016,2.85903343698402
1,3,103,2019,2.93414134776375
1,3,106,2016,2.84824585917568
1,3,106,2019,3.0043452542206
1,3,109,2016,2.88627401737811
1,3,109,2019,3.01267718670139
1,3,112,2016,2.89884480747724
1,3,112,2019,3.00819321829306
1,4,115,2016,3.00034884826278
1,4,115,2019,2.9752327312142
1,4,118,2016,3.00726828690917
1,4,118,2019,3.00038341811663
1,4,121,2019,3.02020625769762
1,4,124,2016,2.94026029836114
1,4,124,2019,3.01151037564634
1,4,127,2016,2.97698390700313
1,4,127,2019,2.99422259809168
1,4,130,2016,3.02365342812022
1,4,130,2019,3.00995866342533
1,4,133,2016,2.96209236634904
1,4,133,2019,3.01964322881535
