"","tinh","huyen","year","W_mean_WI","non_w_mean_WI","n"
"1",1,1,2010,2.94812905237907,2.98415334621623,5
"2",1,1,2012,4.17827307408813,4.17742320265844,5
"3",1,1,2014,4.01859792172996,4.03032319694424,5
"4",1,1,2016,4.1572487049725,4.12835956354393,5
"5",1,1,2018,NA,3.72860311816907,5
"6",1,2,2010,3.44695396076039,3.44721821210255,5
"7",1,2,2012,3.75012902970373,3.85723203886514,5
"8",1,2,2014,4.11281887326553,4.10606974154772,5
"9",1,2,2016,3.95720837931945,3.92056602726402,5
"10",1,2,2018,NA,3.01700798718223,5
"11",1,3,2010,4.03189990224524,4.03224570273952,5
"12",1,3,2012,4.11493202841978,4.13445873410037,5
"13",1,3,2014,4.17431443418323,4.16182748487341,5
"14",1,3,2016,4.10837552338858,4.07125387639309,5
"15",1,3,2018,NA,4.012911967189,5
"16",1,4,2010,3.48869754005308,3.50599832919557,5
"17",1,4,2012,3.95720734552579,3.95660403222546,5
"18",1,4,2014,4.18467934316745,4.18511073285011,5
"19",1,4,2016,4.03859407278704,4.02251473548971,5
"20",1,4,2018,NA,3.77557204835821,5
"21",1,5,2010,3.72642792944774,3.71743951529094,5
"22",1,5,2012,4.14103324157878,4.08190614903311,5
"23",1,5,2014,4.25298672525609,4.2529822763825,5
"24",1,5,2016,4.01895874248957,4.03366942568545,5
"25",1,5,2018,NA,3.59052967851727,5
"26",1,6,2010,3.48994356264289,3.49962714899302,5
"27",1,6,2012,3.96231826977701,3.95603500363721,5
"28",1,6,2014,4.26761800463523,4.27047939635356,5
"29",1,6,2016,4.06658743028433,4.06822271905754,5
"30",1,6,2018,NA,3.75373404401775,5
"31",1,7,2010,3.27936122925887,3.30143483258199,5
"32",1,7,2012,3.98410524385508,3.99624857693607,5
"33",1,7,2014,3.68152528103083,3.6913103372905,5
"34",1,7,2016,3.75194116903677,3.72538949833887,5
"35",1,7,2018,NA,3.47006987146067,5
"36",1,8,2010,4.13267299487721,4.13362355265794,5
"37",1,8,2012,4.0250985636994,4.04375406784115,5
"38",1,8,2014,4.08294875636047,4.09236942516786,5
"39",1,8,2016,4.20636536635381,4.20475198171463,5
"40",1,8,2018,NA,3.65790381434898,5
"41",1,9,2010,3.93091942720647,3.93349460489809,5
"42",1,9,2012,4.07384691414004,4.07329846166384,5
"43",1,9,2014,4.05518855781861,4.05456460666181,5
"44",1,9,2016,4.08381768341172,4.06513505721875,5
"45",1,9,2018,NA,3.67768351955669,5
"46",1,16,2010,3.34522388457409,3.3424285893131,5
"47",1,16,2012,3.84643575110475,3.84122932911388,5
"48",1,16,2014,3.99710969476654,3.99608105867626,5
"49",1,16,2016,4.13045645030936,4.11995262302131,5
"50",1,16,2018,NA,3.72761438712969,5
"51",1,17,2010,3.36096562365409,3.35399347406134,5
"52",1,17,2012,3.86887605239,3.88024391144732,5
"53",1,17,2014,3.93332772125728,3.93518353447943,5
"54",1,17,2016,4.02287216497848,3.99146686902691,5
"55",1,17,2018,NA,3.63563884654317,5
"56",1,18,2010,2.74033775594434,2.75991154932155,5
"57",1,18,2012,3.56885169657571,3.57446475119683,5
"58",1,18,2014,3.94193402177838,3.96791414663469,5
"59",1,18,2016,3.94658262258721,3.967846958119,5
"60",1,18,2018,NA,3.50482466760402,5
"61",1,19,2010,3.40436461415975,3.40304491354299,5
"62",1,19,2012,3.60723540363138,3.66479139893443,5
"63",1,19,2014,3.95936714378498,3.93746540063058,5
"64",1,19,2016,4.21189756917333,4.20240521318787,5
"65",1,19,2018,NA,3.9118299137912,5
"66",1,20,2010,3.32150827120459,3.31338503030103,5
"67",1,20,2012,3.86148230546108,3.81467566838734,5
"68",1,20,2014,3.85755803892059,3.84964157112451,5
"69",1,20,2016,3.97779930605721,3.91275472998454,5
"70",1,20,2018,NA,3.57507977614539,5
"71",1,21,2014,4.27054073111252,4.2708729161561,3
"72",1,21,2016,4.26089090282333,4.25660800787658,3
"73",1,21,2018,NA,3.54905581694918,3
"74",1,250,2010,3.07661475919164,3.07661475919164,5
"75",1,250,2012,3.66944088917497,3.6374717739178,5
"76",1,250,2014,3.71070715077916,3.70467790551637,5
"77",1,250,2016,4.00801181938346,4.00178982657949,5
"78",1,250,2018,NA,3.87583351845741,5
"79",1,268,2010,3.70952325966904,3.6897820238223,5
"80",1,268,2012,3.94133536562834,3.90988096802252,5
"81",1,268,2014,4.13297945381278,4.13287226915892,5
"82",1,268,2016,4.07599022267863,4.09367823558405,5
"83",1,268,2018,NA,3.48891102401166,5
"84",1,269,2010,3.25871800390201,3.28764391909781,5
"85",1,269,2012,3.26893863692347,3.28078390450585,5
"86",1,269,2014,4.13758485342157,4.14048970246921,5
"87",1,269,2016,3.81632016038872,3.74907452982396,5
"88",1,269,2018,NA,3.44450607548078,5
"89",1,271,2010,2.92272212691417,2.91380288654149,5
"90",1,271,2012,3.74665101675844,3.7412397933397,5
"91",1,271,2014,3.82835295986783,3.82908412717544,5
"92",1,271,2016,3.88639717827706,3.89535952818659,5
"93",1,271,2018,NA,3.27513025557522,5
"94",1,272,2010,3.39095963509183,3.39095963509183,5
"95",1,272,2012,3.65214633840016,3.64774810567701,5
"96",1,272,2014,3.9321118074618,3.93314347535308,5
"97",1,272,2016,3.87470396279436,3.85862856772075,5
"98",1,272,2018,NA,3.36864246203203,5
"99",1,273,2010,3.0112323870386,3.00996050160796,5
"100",1,273,2012,3.74463461253283,3.74339566422428,5
"101",1,273,2014,3.79929300910703,3.80247114862262,5
"102",1,273,2016,3.6864340706706,3.7038773237719,5
"103",1,273,2018,NA,3.35714889606879,5
"104",1,274,2010,3.09264132021485,3.08250096900114,5
"105",1,274,2012,3.89645428389242,3.89289621464263,5
"106",1,274,2014,3.55670800310149,3.55654659173512,5
"107",1,274,2016,4.00639208826737,4.01103014591857,5
"108",1,274,2018,NA,3.41990417862729,5
"109",1,275,2010,3.32738764286806,3.31988891050481,5
"110",1,275,2012,3.78259306295031,3.77634788391913,5
"111",1,275,2014,3.67800872493218,3.68662827068114,5
"112",1,275,2016,3.64189778741079,3.65376216098117,5
"113",1,275,2018,NA,3.48111078997519,5
"114",1,276,2010,3.62890818768132,3.63280672631671,5
"115",1,276,2012,3.79565257122726,3.77815560739634,5
"116",1,276,2014,3.80411042649012,3.81133214279585,5
"117",1,276,2016,3.84848782780249,3.92415881574999,5
"118",1,276,2018,NA,3.51688605441459,5
"119",1,277,2010,3.63861898267345,3.64164880045298,5
"120",1,277,2012,3.57030604136373,3.58789968781596,5
"121",1,277,2014,3.80312392949678,3.7972747466638,5
"122",1,277,2016,3.86028110221026,3.86188448033857,5
"123",1,277,2018,NA,3.60798682829424,5
"124",1,278,2010,3.70015204030763,3.69945276113534,5
"125",1,278,2012,3.88040510567001,3.88152150136362,5
"126",1,278,2014,3.77246867053363,3.7672409635225,5
"127",1,278,2016,3.76021810980753,3.76115998112201,5
"128",1,278,2018,NA,3.18286597763295,5
"129",1,279,2010,3.49299903792229,3.49414147929218,5
"130",1,279,2012,4.09337875721021,4.06596005367455,5
"131",1,279,2014,3.91382917373817,3.91353670557184,5
"132",1,279,2016,3.44984965922086,3.42751566404141,5
"133",1,279,2018,NA,3.32778555105168,5
"134",1,280,2010,2.72223395460404,2.71877909009061,5
"135",1,280,2012,3.16288032431844,3.07078025302345,5
"136",1,280,2014,3.0228753926784,3.02517624282356,5
"137",1,280,2016,3.23077429978282,3.26074052975444,5
"138",1,280,2018,NA,3.11337456287503,5
"139",1,281,2010,2.7185691220314,2.70646041462691,5
"140",1,281,2012,3.44330551992897,3.42942430698926,5
"141",1,281,2014,3.48259543469,3.54594091844954,5
"142",1,281,2016,3.49575080710303,3.54590358075642,5
"143",1,281,2018,NA,3.05558792453217,5
"144",1,282,2010,2.4915932007197,2.49386040327483,5
"145",1,282,2012,3.34864765167508,3.35242142757862,5
"146",1,282,2014,3.44597768233795,3.43162895191879,5
"147",1,282,2016,3.2403353038587,3.26914800453627,5
"148",1,282,2018,NA,3.37530236990045,5
"149",2,24,2010,3.95957733647492,3.95948402345691,5
"150",2,24,2012,3.70410694945626,3.70406445789511,5
"151",2,24,2014,3.84875382033843,3.82751451921925,5
"152",2,24,2016,3.89212233491923,3.86655855052461,5
"153",2,24,2018,NA,3.14820098497672,5
"154",2,26,2010,1.23708424510885,1.23777362788376,5
"155",2,26,2012,1.30064646946919,1.3412943586218,5
"156",2,26,2014,1.39141493936449,1.4091072182927,5
"157",2,26,2016,1.32434442476568,1.32750576920083,5
"158",2,26,2018,NA,1.42855782262707,5
"159",2,27,2010,2.12461712197737,2.08055489471548,5
"160",2,27,2012,1.87750661459214,1.92029762038374,5
"161",2,27,2014,1.79993741483153,1.87523092712528,5
"162",2,27,2016,1.81607070618082,1.93902963288522,5
"163",2,27,2018,NA,1.51670602593857,5
"164",2,28,2010,1.80269086359176,1.82110794372295,5
"165",2,28,2012,1.92613397038628,2.08558600666195,5
"166",2,28,2014,1.78901438298463,1.95415498404944,5
"167",2,28,2016,1.91840486621235,2.06246651582231,5
"168",2,28,2018,NA,1.7547870851104,5
"169",2,29,2010,3.63305349180175,3.63305349180175,5
"170",2,29,2012,1.8445777941786,1.8445777941786,5
"171",2,29,2014,1.03018371374591,1.03018371374591,5
"172",2,29,2016,1.99966971393035,1.99966971393035,5
"173",2,29,2018,NA,1.64490830327864,5
"174",2,30,2010,2.21612852186714,2.23001058858238,5
"175",2,30,2012,2.27199250697041,2.26235553080418,5
"176",2,30,2014,2.57989317313574,2.61019662717849,5
"177",2,30,2016,1.94272407622167,2.65307810444255,5
"178",2,30,2018,NA,2.44008098027547,5
"179",2,31,2010,1.26516362747479,1.26524227507362,5
"180",2,31,2012,2.2939473699571,2.29313962084252,5
"181",2,31,2014,2.50635057082449,2.48956433595598,5
"182",2,31,2016,2.62935409994682,2.57154295175533,5
"183",2,31,2018,NA,1.74652593275013,5
"184",2,32,2010,0.994209605639345,0.999342051670484,5
"185",2,32,2012,1.30250240254001,1.29630115309556,5
"186",2,32,2014,1.36408848211925,1.39791088653159,5
"187",2,32,2016,1.94816801147303,1.94760249953849,5
"188",2,32,2018,NA,1.24469557365036,5
"189",2,33,2010,1.30068057378461,1.30517070495168,5
"190",2,33,2012,1.5338036120601,1.53629782065628,5
"191",2,33,2014,2.04108952803259,2.00958577672759,5
"192",2,33,2016,2.08097091381479,1.9415653748054,5
"193",2,33,2018,NA,1.69034759476019,5
"194",2,34,2010,2.46995722235093,2.46665485215444,5
"195",2,34,2012,3.04494302660618,3.0423273150125,5
"196",2,34,2014,2.61429571555545,2.57878628939083,5
