"matinh","mahuyen","maxa","year","mean_pos_WI"
1,1,1,2014,3.02975234588505
1,1,1,2019,3.01835806093652
1,1,4,2014,3.10135653128218
1,1,4,2019,3.04416982626048
1,1,6,2014,3.12807870600305
1,1,6,2019,3.12583752974333
1,1,7,2014,3.10597908096451
1,1,7,2019,3.1314270229662
1,1,8,2014,3.08817600980884
1,1,8,2019,3.11858095331229
1,1,10,2019,3.10336861674889
1,1,13,2014,3.07258371654943
1,1,13,2019,3.063464688008
1,1,16,2014,3.04640845526036
1,1,16,2019,3.09502323876216
1,1,19,2014,3.10657638421408
1,1,19,2019,3.12186596355757
1,1,22,2014,3.11100489776623
1,1,22,2019,3.10918844676387
1,1,25,2014,3.04071461782034
1,1,25,2019,3.09229400855005
1,1,28,2014,2.9593193896839
1,1,28,2019,3.07059077983188
1,1,31,2014,3.10957207016741
1,1,31,2019,3.07728822629999
1,1,34,2014,3.08958310909528
1,1,34,2019,3.06810102591251
1,2,37,2014,3.0245624000627
1,2,37,2019,3.06258357538345
1,2,40,2014,2.98952951014446
1,2,40,2019,3.118158589024
1,2,43,2019,3.09916352388811
1,2,46,2014,3.09389460673496
1,2,46,2019,3.05885667511267
1,2,49,2019,2.99389163352483
1,2,52,2019,3.06863320957766
1,2,55,2014,2.92643458908858
1,2,55,2019,3.07384506657153
1,2,58,2019,3.09723940353461
1,2,61,2014,3.01298833370753
1,2,61,2019,3.07155835810296
1,2,64,2019,3.00792085149908
1,2,67,2014,3.05235670204361
1,2,67,2019,3.06345198509747
1,2,70,2019,3.11747604430313
1,2,73,2014,2.90581729287592
1,2,73,2019,3.1220157771501
1,2,76,2019,3.09293940442664
1,2,79,2014,3.17148180745701
1,2,79,2019,3.12101863742843
1,2,82,2019,3.07302992661479
1,2,85,2014,3.10765749410478
1,2,85,2019,3.11525642600203
1,2,88,2019,3.06574053805028
1,3,91,2014,3.07830216735322
1,3,91,2019,3.14968464901524
1,3,94,2014,3.03549708102468
1,3,94,2019,3.11344127674932
1,3,97,2014,3.13195173507042
1,3,97,2019,3.07877150350115
1,3,100,2014,3.17148180745701
1,3,100,2019,3.137742377077
1,3,103,2014,3.0466864566374
1,3,103,2019,3.02172463158088
1,3,106,2014,3.05787873829166
1,3,106,2019,3.09741710889595
1,3,109,2014,3.09284432051319
1,3,109,2019,3.10294624147025
1,3,112,2014,3.11678120983126
1,3,112,2019,3.10273135617092
1,4,115,2014,3.09147829386206
1,4,115,2019,3.06507189342218
1,4,118,2014,3.10766993485064
1,4,118,2019,3.09192651552884
1,4,121,2019,3.11262411556725
1,4,124,2014,3.02074827784259
1,4,124,2019,3.10385137315416
1,4,127,2014,3.06422242923918
1,4,127,2019,3.08487767152257
1,4,130,2014,3.12747337791321
1,4,130,2019,3.10224325712064
1,4,133,2014,3.05650464319854
1,4,133,2019,3.11183870351704
1,4,136,2014,3.04861498221418
1,4,136,2019,3.07520795779419
1,4,139,2014,3.0935014964127
1,4,139,2019,3.11710257458584
1,4,142,2014,3.0235591916886
1,4,142,2019,3.04581536952043
1,4,145,2014,3.04150011624263
1,4,145,2019,3.03958971386179
1,4,148,2014,2.89206395063484
1,4,148,2019,3.04151831092016
1,4,151,2014,3.08966345470268
1,4,151,2019,3.08729327919939
1,4,154,2019,3.10075621894281
1,5,157,2014,3.10727407053337
1,5,157,2019,3.09597152232488
1,5,160,2014,3.08851980288284
1,5,160,2019,3.11303423517703
1,5,163,2014,3.0008449502468
1,5,163,2019,2.83277329041724
1,5,166,2014,3.00395988724189
1,5,166,2019,3.00310987513452
1,5,167,2014,3.0314984351889
1,5,167,2019,2.98164123995904
1,5,169,2014,2.87908436733916
1,5,169,2019,2.82254944123882
1,5,172,2014,3.13181975648216
1,5,172,2019,3.08230695750353
1,5,175,2014,3.07958007878575
1,5,175,2019,3.0392473000206
1,6,178,2014,3.08936873103547
1,6,178,2019,3.10177044128732
1,6,181,2014,3.049945633535
1,6,181,2019,3.11790660942473
1,6,184,2019,3.08801462568067
1,6,187,2014,3.03921439177881
1,6,187,2019,2.84997411556284
1,6,190,2014,3.11761261668497
1,6,190,2019,3.13338872229701
1,6,193,2014,3.01500429137974
1,6,193,2019,3.04302331090804
1,6,196,2014,3.05561468415244
1,6,196,2019,3.06746683998402
1,6,199,2014,3.07080899987716
1,6,199,2019,3.03772865519691
1,6,202,2014,3.0102632639861
1,6,202,2019,3.10627685390234
1,6,205,2014,2.94995831859448
1,6,205,2019,3.1076556364905
1,6,208,2014,3.13722607639687
1,6,208,2019,3.12932883142444
1,6,211,2014,2.93607927205522
1,6,211,2019,3.07976102743946
1,6,214,2019,3.12607860437965
1,6,217,2014,3.10624388562112
1,6,217,2019,3.08053804652303
1,6,220,2014,3.130401348814
1,6,220,2019,3.09246101384362
1,6,223,2014,3.13882467597823
1,6,223,2019,3.08573032697877
1,6,226,2014,3.16467473682425
1,6,226,2019,3.08008006238533
1,6,229,2014,2.82988190632144
1,6,229,2019,3.0948691877653
1,6,232,2014,3.15301933251741
1,6,232,2019,3.10545483496461
1,6,235,2014,3.10326169969706
1,6,235,2019,3.08334379228218
1,6,238,2014,2.90361570760896
1,6,238,2019,2.97607641468681
1,7,241,2019,3.0988409077803
1,7,244,2014,3.13937471033635
1,7,244,2019,3.09964825380434
1,7,247,2019,3.10289167677749
1,7,250,2019,3.07550579667274
1,7,253,2014,3.11922615748852
1,7,253,2019,3.04935389470719
1,7,256,2014,3.06074863404008
1,7,256,2019,3.12935262137884
1,7,259,2019,3.10254236413381
1,7,262,2014,3.03115179961303
1,7,262,2019,3.08600004064089
1,7,265,2014,3.08368169404276
1,7,265,2019,3.0980425776841
1,7,268,2014,3.06936971593926
1,7,268,2019,3.04986275551417
1,7,271,2014,3.13453311865827
1,7,271,2019,3.06831258672936
1,7,274,2019,3.07778071236235
1,7,277,2014,3.11718004844519
1,7,277,2019,3.07524149238397
1,7,280,2014,3.04386550625783
1,7,280,2019,3.00462190511866
1,7,283,2014,3.06421938917226
1,7,283,2019,3.12607615728151
1,7,286,2014,3.07000854280257
1,7,286,2019,3.08211212520985
1,7,289,2019,3.09164114995325
1,7,292,2014,3.13245812174035
1,7,292,2019,3.09982614661817
